,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,10,20,38,3,42,46,24,41,49,34,7,43,20,38,3,35,37,35,36,3,17,39,23,26,27,8,27,46,34,7,22,32,40,10,4,14,6,13,15,10,50,14,39,31,28,13,24,2,37,5,1,13,11,40,47,49,46,26,6,45,7,12,43,17,1,29,6,39,32,13,18,8,28,19,22,46,45,43,50,16,10,50,12,34,8,46,32,8,11,33,43,16,18,40,11,30,48,10,34
1,21,0,37,19,9,24,18,9,28,19,7,20,50,46,29,32,11,5,22,30,8,11,31,6,29,48,10,22,21,39,36,30,17,26,42,13,47,7,11,12,34,12,15,49,18,8,6,41,3,39,15,11,1,47,42,43,26,37,28,9,21,11,49,38,15,19,11,49,2,12,35,28,23,32,23,40,14,38,21,24,15,30,30,41,6,23,7,4,6,29,33,14,26,38,27,43,6,43,48,2
2,45,17,0,6,25,5,13,32,33,15,8,15,29,46,14,13,38,17,1,42,42,2,24,50,35,6,39,27,1,13,9,34,39,36,24,35,32,47,13,6,19,42,9,34,18,10,17,8,33,45,26,48,47,37,43,18,31,38,13,37,5,43,35,7,45,46,35,44,4,5,50,38,44,41,31,12,16,24,9,50,27,47,42,14,36,22,39,36,28,37,29,33,24,23,12,4,7,1,8,47
3,5,46,2,0,30,14,38,8,16,9,47,47,14,32,9,42,44,14,3,27,16,37,39,4,32,37,6,5,39,31,40,38,45,22,48,21,30,45,13,9,43,50,39,11,26,17,23,49,19,42,2,35,21,15,13,28,17,26,19,42,45,34,44,45,12,18,7,2,23,46,44,17,37,39,8,13,3,27,35,19,25,27,23,36,15,1,25,43,40,20,43,6,13,12,28,38,12,38,30,31
4,18,8,2,28,0,15,16,50,30,41,22,21,15,33,3,3,36,45,37,14,37,32,26,21,43,14,17,29,16,2,43,13,11,36,44,18,33,21,10,39,1,32,4,14,8,26,42,37,3,21,11,21,17,10,49,8,48,10,36,10,12,18,5,1,17,41,13,43,35,1,38,8,47,1,20,31,19,43,36,14,31,44,31,5,25,32,37,11,30,7,39,40,24,21,20,10,25,18,21,44
5,25,18,27,42,5,0,25,11,19,8,10,18,38,16,4,6,35,6,18,42,46,18,21,48,32,6,18,6,34,27,41,33,45,46,40,16,18,9,32,34,19,16,41,17,8,48,24,49,49,26,23,30,14,8,21,6,33,1,46,40,25,19,8,49,13,40,19,36,3,2,8,8,4,49,19,26,14,44,24,13,22,37,25,36,23,33,15,37,17,26,15,20,10,28,42,34,45,32,14,32
6,17,49,42,40,5,20,0,22,49,11,24,29,9,41,15,12,6,25,37,12,2,47,46,13,1,35,42,29,18,32,30,45,19,21,15,14,19,5,47,9,28,17,41,14,2,38,1,21,8,29,4,17,21,6,42,26,14,37,26,24,40,38,13,50,24,4,41,50,18,2,29,40,18,30,9,38,49,39,28,31,5,24,49,16,28,20,24,7,27,15,29,32,2,16,15,37,46,12,46,11
7,37,19,21,25,35,4,44,0,34,8,22,15,42,11,33,44,19,40,10,27,34,6,4,34,23,46,3,33,39,43,48,46,17,31,9,35,45,11,38,37,27,5,40,21,18,13,25,18,31,47,2,39,16,39,6,42,6,34,15,3,42,34,33,47,26,50,36,26,20,27,25,31,50,32,31,32,10,5,20,13,37,2,9,41,42,26,41,21,22,29,11,22,2,47,14,21,22,40,29,38
8,1,30,7,31,8,9,17,4,0,2,6,12,21,21,12,17,40,29,17,50,33,48,47,43,28,20,18,49,32,47,11,32,10,4,1,3,26,26,4,5,5,21,3,39,42,13,17,44,47,21,26,49,47,20,19,14,22,21,40,32,22,46,35,35,10,9,35,41,46,4,34,42,21,41,33,30,39,9,3,23,39,46,44,12,16,1,34,33,31,32,22,41,37,18,46,44,10,5,40,40
9,13,4,43,19,25,35,44,49,4,0,44,3,45,25,1,35,25,42,35,4,43,41,48,46,16,14,14,15,21,29,41,8,33,14,19,22,39,20,19,8,26,17,17,32,11,41,18,48,13,1,19,41,10,15,45,40,38,43,45,43,5,27,11,39,10,36,45,18,28,1,33,49,10,46,19,32,38,9,28,29,28,35,24,13,45,9,47,7,39,30,33,34,17,26,43,24,14,40,25,38
